BE_dados_as.dat,CPS_dados_as.dat,SiO2 3/2_1_dados_as.dat,SiO2 1/2_2_dados_as.dat,Si 3/2_3_dados_as.dat,Si 1/2_4_dados_as.dat,Si 1+ 3/2_5_dados_as.dat,Si 1+ 1/2_6_dados_as.dat,Si 3+ 3/2_7_dados_as.dat,Si 3+ 1/2_8_dados_as.dat,Background_dados_as.dat,Envelope_dados_as.dat,Normalised_Residual_dados_as.dat,Residual_dados_as.dat
107.04,48.1473,48.5218,48.3998,48.1558,48.1543,48.1601,48.155,48.2717,48.226,48.1473,49.0134,0,0
107.02,47.0325,47.4105,47.2877,47.0411,47.0395,47.0454,47.0402,47.1579,47.1119,47.0325,47.9066,0,0
107,46.9069,47.2884,47.1649,46.9155,46.914,46.9198,46.9147,47.0332,46.987,46.9069,47.7892,0,0
106.98,47.0796,47.4647,47.3404,47.0883,47.0867,47.0926,47.0874,47.2068,47.1603,47.0796,47.9701,0,0
106.96,47.0561,47.4449,47.3198,47.0648,47.0632,47.0692,47.064,47.1843,47.1375,47.0561,47.955,0,0
106.94,48.2493,48.6418,48.5159,48.2581,48.2565,48.2625,48.2572,48.3785,48.3314,48.2493,49.1567,0,0
106.92,47.6684,48.0646,47.9379,47.6772,47.6756,47.6816,47.6764,47.7986,47.7512,47.6684,48.5844,0,0
106.9,47.8882,48.2882,48.1607,47.8971,47.8955,47.9015,47.8962,48.0193,47.9717,47.8882,48.8129,0,0
106.88,47.0639,47.4678,47.3395,47.0728,47.0712,47.0773,47.072,47.1961,47.1482,47.0639,47.9975,0,0
106.86,46.0119,46.4197,46.2906,46.0209,46.0193,46.0254,46.02,46.1451,46.0969,46.0119,46.9545,0,0
106.84,46.0198,46.4316,46.3017,46.0288,46.0272,46.0334,46.028,46.154,46.1055,46.0198,46.9715,0,0
106.82,47.5663,47.9821,47.8514,47.5754,47.5737,47.5799,47.5745,47.7015,47.6528,47.5663,48.5272,0,0
106.8,47.8647,48.2846,48.1531,47.8738,47.8722,47.8784,47.873,48.001,47.9519,47.8647,48.835,0,0
106.78,46.2474,46.6714,46.5391,46.2565,46.2549,46.2612,46.2557,46.3847,46.3354,46.2474,47.2272,0,0
106.76,46.5772,47.0054,46.8723,46.5864,46.5848,46.5911,46.5856,46.7156,46.666,46.5772,47.5667,0,0
